id;ingredient;similars;co2id
28;1/2 cup freshly grated Parmesan cheese;"['Watermelons' 'Butter beans' 'Mustard seed' 'Peaches' 'Green beans'
 'Sea bass' 'Currants' 'Mushrooms' 'Pistachios' 'Artichokes']";
29;2 tomatoes, seeded and chopped;"['Tomatoes' 'Tomatoes' 'Rape seed' 'Sesame seed' 'Butter beans'
 'Sunflower seed' 'Potatoes' 'Mustard seed' 'Diamond fish' 'Gooseberries']";
30;Confectioners' sugar, for dusting;"['Coconut milk' 'Sunflower seed' 'Nectarines' 'Button squash' 'Herring'
 'Grapefruit' 'Kiwi fruit' 'Cranberries' 'Cauliflowers' 'Gooseberries']";0
31;1/2 tsp Tamarind Paste;"['Asparagus' 'Mandarins' 'Nectarines' 'Tangerines' 'Diamond fish'
 'Tomatoes' 'Mandarin' 'Tomatoes' 'Ground nuts' 'Strawberries']";0
32;2 Gläser Wein, weiß;"['Gooseberries' 'Gherkins' 'Sunflower seed' 'Nectarines' 'Tangerines'
 'Aubergines' 'Blueberries' 'Raspberries' 'Butter beans' 'Ginger']";0
33;1 cup sugar;"['Button squash' 'Mustard seed' 'Octopus' 'Pumpkins' 'Kangaroo' 'Pilchard'
 'Asparagus' 'Capsicums' 'Mushrooms' 'Rape seed']";0
34;1/2 tsp. ground cinnamon;"['Ground nuts' 'Rockmelon' 'Ling common' 'Green beans' 'Diamond fish'
 'Onion' 'Quinoa' 'Salmon' 'Megrim' 'Apricot']";0
35;1/2 teaspoon dried thyme;"['Raspberries' 'Diamond fish' 'Mandarin' 'Mandarins' 'Rape seed'
 'Tangerines' 'Nectarines' 'Almond milk' 'Cranberries' 'Watermelons']";0
36;1 yellow onion, thinly sliced;"['Lentils' 'Sunflower seed' 'Coconut milk' 'Melons' 'Melons' 'Hazelnuts'
 'Rape seed' 'Pistachios' 'Cashew nut' 'Nectarines']";
37;"1 cup chopped celery hearts (inner stalks and leaves; from 1 bunch)";"['Gooseberries' 'Butter beans' 'Sunflower seed' 'Aubergines' 'Nectarines'
 'Raspberries' 'Blueberries' 'Green beans' 'Diamond fish' 'Mustard seed']";
38;2 teaspoons ground coriander;"['Ground nuts' 'Nectarines' 'Ling common' 'Butter beans' 'Diamond fish'
 'Button squash' 'Broccoli' 'Broccoli' 'Cranberries' 'Watermelons']";
39;1 tablespoon Worcestershire sauce;"['Raspberries' 'Gooseberries' 'Tangerines' 'Blueberries' 'Strawberries'
 'Strawberries' 'Button squash' 'Sunflower seed' 'Rape seed' 'Cashew nut']";0
40;2 tsp fresh oregano leaves, chopped;"['Green beans' 'Sesame seed' 'Butter beans' 'Cantelope' 'Pineapples'
 'Cranberries' 'Mustard seed' 'Peaches' 'Mussels' 'Spinach']";0
41;6 chicken thighs, boned;"['Chicken' 'Chick peas' 'Lentils' 'Whiting' 'Zucchini' 'Rockmelon'
 'Rape seed' 'Rock fish' 'Nectarines' 'Artichokes']";
42;1 1?2 cups milk;"['Coconut milk' 'Buffalo milk' 'Almond milk' 'Soy-milk' 'Milk' 'Octopus'
 'Mussels' 'Pumpkins' 'Mushrooms' 'Capsicums']";
43;1/2 teaspoon white pepper;"['Sesame seed' 'Peppers' 'Cantelope' 'Pineapples' 'Cashew nut' 'Chick peas'
 'Raspberries' 'Strawberries' 'Gooseberries' 'Strawberries']";0
44;1/2 teaspoon Worcestershire sauce;"['Raspberries' 'Gooseberries' 'Tangerines' 'Strawberries' 'Strawberries'
 'Button squash' 'Sunflower seed' 'Rape seed' 'Cashew nut' 'Blueberries']";0
45;1/2 tablespoon kosher salt;"['Cashew nut' 'Raspberries' 'Cauliflowers' 'Diamond fish' 'Strawberries'
 'Strawberries' 'Gooseberries' 'Button squash' 'Peppers' 'Sunflower seed']";0
46;1 stick (1/2 cup) butter, softened;"['Butter beans' 'Mustard seed' 'Sunflower seed' 'Chick peas' 'Cucumbers'
 'Aubergines' 'Raspberries' 'Butter' 'Chicken' 'Mackerel']";
47;1 Glas Tomate(n), passierte (500ml);"['Tomatoes' 'Tomatoes' 'Tangerines' 'Watermelons' 'Almond milk'
 'Raspberries' 'Gooseberries' 'Coconut milk' 'Potatoes' 'Mackerel']";
48;1 teaspoon brown sugar;"['Button squash' 'Raspberries' 'Sea bass' 'Kangaroo' 'Cashew nut'
 'Watermelons' 'Green beans' 'Pears' 'Beans' 'Diamond fish']";0
49;2 tablespoons olive oil, plus more for the roasting pan and basting;"['Rape seed' 'Sesame seed' 'Green beans' 'Butter beans' 'Cauliflowers'
 'Capsicums' 'Kiwi fruit' 'Almond milk' 'Diamond fish' 'Coconut milk']";0
50;1 quart oil for deep frying;"['Sunflower seed' 'Cuttlefish' 'Gooseberries' 'Butter beans' 'Mustard seed'
 'Barley' 'Herring' 'Swordfish' 'Artichokes' 'Kiwi fruit']";0
51;2 shallots, halved;"['Buffalo milk' 'Cauliflowers' 'Button squash' 'Carrots' 'Walnuts'
 'Sunflower seed' 'Potatoes' 'Rape seed' 'Mushrooms' 'Hazelnuts']";0
52;1/4 tsp Ginger Powder;"['Ginger' 'Tangerines' 'Raspberries' 'Ling common' 'Butter beans'
 'Cauliflowers' 'Sunflower seed' 'Whiting' 'Kangaroo' 'Cantelope']";0
53;1/2 Teaspoon Salt;"['Peanuts' 'Tomatoes' 'Tomatoes' 'Beetroot' 'Sea bass' 'Pineapples'
 'Chick peas' 'Cashew nut' 'Ling common' 'Tuna']";0
54;butter for cake pan;"['Butter beans' 'Butter' 'Currants' 'Rockmelon' 'Cuttlefish' 'Chick peas'
 'Blueberries' 'Watermelons' 'Raspberries' 'Green beans']";
55;1 teaspoon Worcestershire sauce;"['Raspberries' 'Gooseberries' 'Tangerines' 'Strawberries' 'Strawberries'
 'Button squash' 'Sunflower seed' 'Rape seed' 'Cashew nut' 'Blueberries']";0
56;1/2 c. brown sugar;"['Button squash' 'Prawns' 'Kangaroo' 'Ling common' 'Green beans' 'Trout'
 'Melons' 'Ginger' 'Sunflower seed' 'Melons']";0
57;1 teaspoon coarse salt, plus more to taste;"['Sesame seed' 'Button squash' 'Asparagus' 'Rape seed' 'Pineapples'
 'Raspberries' 'Butter beans' 'Sunflower seed' 'Peanuts' 'Carrots']";0
58;Salt;"['Salmon' 'Walnuts' 'Oats' 'Sole' 'Hazelnuts' 'Dates' 'Wheat' 'Barley'
 'Garlic' 'Rabbit']";0
59;3 large eggs;"['Tangerines' 'Asparagus' 'Rape seed' 'Eggs' 'Aubergines' 'Nectarines'
 'Dates' 'Pears' 'Watermelons' 'Green beans']";
60;1 pound pork bones;"['Ground nuts' 'Butter beans' 'Pumpkins' 'Mandarins' 'Tangerines'
 'Aubergines' 'Green beans' 'Ling common' 'Almond milk' 'Apples']";0
61;1 3-inch piece ginger, peeled, thinly sliced;"['Tangerines' 'Pineapples' 'Chick peas' 'Sunflower seed' 'Lentils'
 'Zucchini' 'Gherkins' 'Rape seed' 'Eggplants' 'Aubergines']";0
62;1 pound bulk Italian sausage;"['Ground nuts' 'Button squash' 'Rutabage' 'Almond milk' 'Diamond fish'
 'Butter beans' 'Sunflower seed' 'Walnuts' 'Sea bass' 'Pumpkins']";
63;¼ teaspoon freshly ground black pepper;"['Almond milk' 'Coconut milk' 'Cantelope' 'Chick peas' 'Ground nuts'
 'Raspberries' 'Green beans' 'Gooseberries' 'Butter beans' 'Button squash']";0
64;1 tablespoon yellow or dijon mustard;"['Cashew nut' 'Sunflower seed' 'Watermelons' 'Cauliflowers' 'Swordfish'
 'Hazelnuts' 'Rape seed' 'Almond milk' 'Raspberries' 'Diamond fish']";
65;1 pound unpeeled, medium-size raw shrimp (4 1/50 count);"['Ground nuts' 'Diamond fish' 'Apricot' 'Mandarin' 'Cucumbers' 'Mandarins'
 'Cuttlefish' 'Cashew nut' 'Kiwi fruit' 'Anglerfish']";
66;3 tablespoons Asian fish sauce (nam pla);"['Diamond fish' 'Cuttlefish' 'Coconut milk' 'Button squash' 'Rock fish'
 'Capsicums' 'Anglerfish' 'Cashew nut' 'Almond milk' 'Butter beans']";0
67;Olivenöl;"['Olives' 'Fennel' 'Lentils' 'Chicken' 'Eel' 'Pineapples' 'Sole' 'Milk'
 'Rice' 'Lime']";0
68;2 Kugel/n Mozzarella;"['Mackerel' 'Butter beans' 'Quinoa' 'Kangaroo' 'Porbeagle' 'Cantelope'
 'Nectarines' 'Tangerines' 'Aubergines' 'Tuna']";
69;Red Wine Sauce, for serving (optional);"['Sunflower seed' 'Ling common' 'Rape seed' 'Pineapples' 'Kiwi fruit'
 'Raspberries' 'Watermelons' 'Cauliflowers' 'Peaches' 'Lentils']";0
70;1 medium Onion (chopped);"['Onion' 'Quinces' 'Pineapples' 'Artichokes' 'Sesame seed' 'Diamond fish'
 'Lemon' 'Button squash' 'Quinoa' 'Fennel']";
71;2 tablespoons soy sauce;"['Button squash' 'Rutabage' 'Rape seed' 'Sesame seed' 'Watermelons'
 'Strawberries' 'Mustard seed' 'Strawberries' 'Diamond fish' 'Melons']";0
72;salt and ground black pepper to taste;"['Ground nuts' 'Sunflower seed' 'Chick peas' 'Green beans' 'Peppers'
 'Walnuts' 'Mackerel' 'Kangaroo' 'Rape seed' 'Mandarins']";0
73;Vegetable oil for deep frying. (use a small pan);"['Nectarines' 'Green beans' 'Aubergines' 'Butter beans' 'Herring'
 'Cherries' 'Hazelnuts' 'Swordfish' 'Cuttlefish' 'Sesame seed']";0
74;2 garlic cloves, minced;"['Cauliflowers' 'Artichokes' 'Olives' 'Garlic' 'Buffalo milk'
 'Mustard seed' 'Sunflower seed' 'Rape seed' 'Tangerines' 'Chick peas']";
75;1/4 cup vegetable oil;"['Buffalo milk' 'Rutabage' 'Cuttlefish' 'Strawberries' 'Strawberries'
 'Buffalo' 'Lentils' 'Beetroot' 'Cucumbers' 'Nectarines']";0
76;1 Spring Onion / Scallion;"['Onion' 'Ling common' 'Salmon' 'Apricot' 'Spinach' 'Broccoli' 'Broccoli'
 'Green beans' 'Ground nuts' 'Diamond fish']";
77;8 ounces cream cheese, room temperature;"['Sesame seed' 'Mushrooms' 'Raspberries' 'Gooseberries' 'Mustard seed'
 'Peaches' 'Beetroot' 'Ling common' 'Green beans' 'Blueberries']";
78;3-4 additional zucchinis if you're making timbales;"['Pistachios' 'Artichokes' 'Button squash' 'Zucchini' 'Cucumbers'
 'Pineapples' 'Buffalo milk' 'Cauliflowers' 'Coconut milk' 'Walnuts']";
79;1 Carrot (chopped);"['Carrots' 'Cantelope' 'Artichokes' 'Carp' 'Cranberries' 'Mustard seed'
 'Cowpeas' 'Peaches' 'Kangaroo' 'Currants']";
80;Salt, optional;"['Salmon' 'Spinach' 'Buffalo milk' 'Button squash' 'Sea bass' 'Soy-milk'
 'Cantelope' 'Sole' 'Shark mako' 'Pineapples']";0
81;1 small bulb of fennel;"['Fennel' 'Aubergines' 'Buffalo milk' 'Cauliflowers' 'Salmon' 'Tomatoes'
 'Tomatoes' 'Mackerel' 'Rape seed' 'Cantelope']";0
82;2 teaspoons garam masala;"['Asparagus' 'Coconut milk' 'Button squash' 'Kangaroo' 'Sea bass'
 'Mandarins' 'Capsicums' 'Mushrooms' 'Tangerines' 'Shark mako']";0
83;10 sesame burger buns;"['Sesame seed' 'Green beans' 'Butter beans' 'Asparagus' 'Tangerines'
 'Gooseberries' 'Currants' 'Sea bass' 'Aubergines' 'Raspberries']";0
84;2 tubs Knorr® Homestyle Stock - Beef;"['Mushrooms' 'Sesame seed' 'Blueberries' 'Watermelons' 'Mustard seed'
 'Pomelo' 'Pollock' 'Kangaroo' 'Tomatoes' 'Tomatoes']";0
85;1/4 cup olive oil;"['Olives' 'Buffalo milk' 'Broccoli' 'Broccoli' 'Cuttlefish' 'Sole'
 'Almond milk' 'Ling common' 'Coconut milk' 'Cauliflowers']";0
86;1 clove garlic, thinly sliced;"['Sunflower seed' 'Zucchini' 'Nectarines' 'Mustard seed' 'Garlic' 'Peaches'
 'Rock fish' 'Mandarins' 'Rape seed' 'Pistachios']";
87;8 slices Canadian-style bacon, warmed;"['Cantelope' 'Pilchard' 'Pistachios' 'Ling common' 'Watermelons'
 'Sesame seed' 'Cauliflowers' 'Mustard seed' 'Coconut milk' 'Sea bass']";
88;2 teaspoons baking soda;"['Green beans' 'Butter beans' 'Sea bass' 'Raspberries' 'Sesame seed'
 'Gooseberries' 'Button squash' 'Pumpkins' 'Rutabage' 'Gherkins']";0
89;4 teaspoons gochujang (Korean chili paste, such as Annie Chun's);"['Button squash' 'Tangerines' 'Gooseberries' 'Asparagus' 'Cashew nut'
 'Nectarines' 'Raspberries' 'Coconut milk' 'Butter beans' 'Diamond fish']";0
90;1 tsp minced garlic;"['Garlic' 'Spinach' 'Mandarin' 'Mandarins' 'Pineapples' 'Raspberries'
 'Diamond fish' 'Coconut milk' 'Ginger' 'Megrim']";
91;6 slices (1/2-inch-thick) French bread;"['Chick peas' 'Green beans' 'Chicken' 'Butter beans' 'Pilchard' 'Zucchini'
 'Rape seed' 'Pistachios' 'Mustard seed' 'Sunflower seed']";0
92;10 tbsp mayonnaise;"['Mandarins' 'Asparagus' 'Diamond fish' 'Almonds' 'Tomatoes' 'Mandarin'
 'Tomatoes' 'Rutabage' 'Eggplants' 'Shark mako']";0
93;2 cups all purpose flour;"['Buffalo milk' 'Mustard seed' 'Cauliflowers' 'Mussels' 'Mushrooms'
 'Cashew nut' 'Grapefruit' 'Pomelo' 'Sunflower seed' 'Lobster']";0
94;6 stalks green onion (cut into 3-4 inch strands);"['Green beans' 'Cashew nut' 'Mustard seed' 'Butter beans' 'Button squash'
 'Walnuts' 'Hazelnuts' 'Capsicums' 'Chestnuts' 'Pistachios']";
95;12 corn tortillas;"['Lentils' 'Coconut milk' 'Almond milk' 'Green beans' 'Octopus' 'Tomatoes'
 'Cherries' 'Tomatoes' 'Currants' 'Potatoes']";0
96;3 tablespoons of water;"['Cauliflowers' 'Lobster' 'Rutabage' 'Raspberries' 'Gooseberries'
 'Strawberries' 'Strawberries' 'Diamond fish' 'Melons' 'Melons']";0
97;40 to 50 ladyfingers;"['Tangerines' 'Nectarines' 'Ginger' 'Mandarins' 'Rock fish' 'Swordfish'
 'Anglerfish' 'Cuttlefish' 'Cranberries' 'Strawberries']";0
98;1 pound pork loin, cut into 3-inch x 1/4-inch strips;"['Ground nuts' 'Button squash' 'Zucchini' 'Pumpkins' 'Artichokes'
 'Ling common' 'Diamond fish' 'Gooseberries' 'Coconut milk'
 'Sunflower seed']";
99;3 scallions, cut into 1-inch pieces;"['Pistachios' 'Coconut milk' 'Button squash' 'Quinces' 'Walnuts' 'Potatoes'
 'Hazelnuts' 'Artichokes' 'Tangerines' 'Raspberries']";
100;1 tablespoon soy sauce;"['Button squash' 'Rutabage' 'Rape seed' 'Sesame seed' 'Watermelons'
 'Strawberries' 'Strawberries' 'Diamond fish' 'Mustard seed' 'Salmon']";0
101;2 tablespoons pickle relish;"['Mackerel' 'Rock fish' 'Raspberries' 'Gooseberries' 'Diamond fish'
 'Peppers' 'Capsicums' 'Anglerfish' 'Cuttlefish' 'Chick peas']";
102;Pink Salt to taste;"['Potatoes' 'Button squash' 'Sea bass' 'Chick peas' 'Quinoa' 'Diamond fish'
 'Salmon' 'Lobster' 'Walnuts' 'Carrots']";0
103;1 tablespoon olive oil;"['Almond milk' 'Coconut milk' 'Buffalo milk' 'Raspberries' 'Strawberries'
 'Strawberries' 'Diamond fish' 'Salmon' 'Fennel' 'Olives']";0
104;400 g Reis (Risottoreis);"['Potatoes' 'Tomatoes' 'Tomatoes' 'Rape seed' 'Chestnuts' 'Tangerines'
 'Cuttlefish' 'Pistachios' 'Nectarines' 'Raspberries']";0
105;1 kleine Zwiebel(n);"['Green beans' 'Sesame seed' 'Almond milk' 'Butter beans' 'Fennel'
 'Lentils' 'Mackerel' 'Rape seed' 'Rockmelon' 'Nectarines']";0
106;Dutch-process cocoa powder, for dusting (optional);"['Grapefruit' 'Strawberries' 'Strawberries' 'Kiwi fruit' 'Ling common'
 'Coconut milk' 'Sunflower seed' 'Herring' 'Broccoli' 'Avocados']";0
107;1 Medjool Date;"['Dates' 'Beetroot' 'Tomatoes' 'Tomatoes' 'Potatoes' 'Sole' 'Maize' 'Wheat'
 'Melons' 'Swedes']";0
108;1 tsp vanilla extract;"['Asparagus' 'Cauliflowers' 'Apricot' 'Spinach' 'Mandarin' 'Rutabage'
 'Beetroot' 'Kangaroo' 'Eggplants' 'Mandarins']";0
109;2 - 4 tablespoons miso paste (to taste);"['Sesame seed' 'Tomatoes' 'Tomatoes' 'Rape seed' 'Cantelope' 'Almond milk'
 'Coconut milk' 'Buffalo milk' 'Diamond fish' 'Cauliflowers']";0
110;3 tablespoons olive oil;"['Almond milk' 'Coconut milk' 'Buffalo milk' 'Watermelons' 'Raspberries'
 'Strawberries' 'Gooseberries' 'Diamond fish' 'Strawberries' 'Fennel']";0
111;1 teaspoon Soy Sauce;"['Button squash' 'Lettuce' 'Peanuts' 'Soybean' 'Peaches' 'Sea bass'
 'Cantelope' 'Asparagus' 'Chestnuts' 'Chick peas']";0
112;1/4 teaspoon salt;"['Button squash' 'Beans' 'Watermelons' 'Melons' 'Melons' 'Diamond fish'
 'Peanuts' 'Sea bass' 'Beetroot' 'Mushrooms']";0
113;Thinly sliced red chile, such as fresno for garnishing;"['Anglerfish' 'Green beans' 'Diamond fish' 'Chick peas' 'Pistachios'
 'Butter beans' 'Button squash' 'Sunflower seed' 'Herring' 'Cherries']";0
114;1/2 cup sugar;"['Button squash' 'Mustard seed' 'Octopus' 'Pumpkins' 'Pilchard' 'Kangaroo'
 'Cucumbers' 'Rape seed' 'Rock fish' 'Asparagus']";0
115;1 Teaspoon Chicken stock powder;"['Chick peas' 'Chicken' 'Rape seed' 'Sesame seed' 'Cauliflowers' 'Peppers'
 'Peaches' 'Lobster' 'Mackerel' 'Tomatoes']";0
116;1/4 pound Chinese or Vietnamese rice noodles, (banh pho);"['Sesame seed' 'Sunflower seed' 'Cherries' 'Blueberries' 'Ground nuts'
 'Green beans' 'Chestnuts' 'Rape seed' 'Pineapples' 'Almond milk']";
117;1/2 cup (1 stick) butter room temperature;"['Butter beans' 'Chick peas' 'Gooseberries' 'Capsicums' 'Mushrooms'
 'Raspberries' 'Blueberries' 'Mustard seed' 'Button squash'
 'Sunflower seed']";
118;1 teaspoon red pepper flakes, or to taste;"['Pineapples' 'Raspberries' 'Green beans' 'Butter beans' 'Gooseberries'
 'Diamond fish' 'Button squash' 'Carrots' 'Peppers' 'Rape seed']";0
119;1 cup chopped peeled baking potato;"['Sunflower seed' 'Rape seed' 'Ling common' 'Green beans' 'Butter beans'
 'Quinoa' 'Kangaroo' 'Pumpkins' 'Gherkins' 'Zucchini']";0
120;2-3 tablespoons heavy cream;"['Raspberries' 'Rutabage' 'Rape seed' 'Capsicums' 'Asparagus' 'Cashew nut'
 'Cuttlefish' 'Almond milk' 'Watermelons' 'Coconut milk']";
121;1 tablespoon fresh lemon juice;"['Cantelope' 'Rape seed' 'Grapefruit' 'Cuttlefish' 'Cashew nut'
 'Green beans' 'Raspberries' 'Almond milk' 'Mustard seed' 'Diamond fish']";0
122;300 grams raw prawns;"['Prawns' 'Eggplants' 'Mandarins' 'Cashew nut' 'Raspberries' 'Green beans'
 'Strawberries' 'Strawberries' 'Butter beans' 'Grapes']";
123;1 cucumber (peeled, seeded and cut into 3-4 inch sticks);"['Cucumbers' 'Green beans' 'Mustard seed' 'Butter beans' 'Button squash'
 'Sunflower seed' 'Rape seed' 'Aubergines' 'Watermelons' 'Sesame seed']";
124;4 ribs celery, halved crosswise and lengthwise;"['Ground nuts' 'Strawberries' 'Strawberries' 'Diamond fish' 'Blueberries'
 'Raspberries' 'Butter beans' 'Mustard seed' 'Sunflower seed' 'Herring']";
125;3 cups cooked long-grain rice;"['Gooseberries' 'Rockmelon' 'Aubergines' 'Cranberries' 'Quinces' 'Broccoli'
 'Zucchini' 'Mackerel' 'Pumpkins' 'Cherries']";
126;2 corn tortillas (I used Mission Extra Thin yellow corn);"['Cashew nut' 'Pistachios' 'Ground nuts' 'Watermelons' 'Cauliflowers'
 'Cantelope' 'Swordfish' 'Aubergines' 'Nectarines' 'Anglerfish']";0
127;2 large eggs, lightly beaten with a pinch of kosher salt;"['Artichokes' 'Green beans' 'Cauliflowers' 'Tangerines' 'Pistachios'
 'Kiwi fruit' 'Butter beans' 'Button squash' 'Sunflower seed' 'Peaches']";
128;1 teaspoon vanilla;"['Coconut milk' 'Almond milk' 'Green beans' 'Butter beans' 'Buffalo milk'
 'Diamond fish' 'Fennel' 'Button squash' 'Lentils' 'Sea bass']";0
129;3 2 pounds racks baby back ribs, cut into 6 equal portions;"['Button squash' 'Ground nuts' 'Mandarins' 'Rockmelon' 'Nectarines'
 'Aubergines' 'Raspberries' 'Watermelons' 'Green beans' 'Cranberries']";
130;3/4 teaspoon chili powder;"['Cauliflowers' 'Coconut milk' 'Peaches' 'Peppers' 'Sunflower seed'
 'Cantelope' 'Pistachios' 'Pineapples' 'Artichokes' 'Raspberries']";0
131;1 package (2 1/2 teaspoons) active dry yeast;"['Raspberries' 'Butter beans' 'Mackerel' 'Rape seed' 'Asparagus'
 'Chick peas' 'Tangerines' 'Sesame seed' 'Watermelons' 'Green beans']";0
132;? cup black vinegar;"['Kangaroo' 'Pumpkins' 'Mackerel' 'Cucumbers' 'Aubergines' 'Nectarines'
 'Chick peas' 'Butter beans' 'Ginger' 'Quinoa']";0
133;Olive oil cooking spray;"['Olives' 'Chick peas' 'Melons' 'Melons' 'Gherkins' 'Rock fish'
 'Nectarines' 'Artichokes' 'Almond milk' 'Cauliflowers']";0
134;Lemon wedges, for serving;"['Diamond fish' 'Sunflower seed' 'Almond milk' 'Lemon' 'Gooseberries'
 'Swedes' 'Lobster' 'Almonds' 'Herring' 'Mandarin']";0
135;Freshly ground pepper;"['Ground nuts' 'Peppers' 'Pineapples' 'Blueberries' 'Almond milk'
 'Mustard seed' 'Fennel' 'Celery' 'Melons' 'Melons']";0
136;Salt and Pepper;"['Peppers' 'Mustard seed' 'Cantelope' 'Pineapples' 'Salmon' 'Strawberries'
 'Strawberries' 'Mandarin' 'Mandarins' 'Tangerines']";0
